year,organization group,job,salaries,overtime,other salaries,retirement,health and dental,other benefits
2013,Public Protection,Personnel Technician,71414.01,0,0,14038.58,12918.24,5872.04
2013,General Administration & Finance,Planner 2,67941.06,0,0,13030.23,10047.52,5608.37
2013,Public Protection,Firefighter,116956.72,59975.43,19037.3,24796.44,15788.97,3222.2
2013,Community Health,IT Operations Support Admn III,31856,0,0,6791.73,5262.99,2574.91
2013,Community Health,Special Nurse,29590.58,0,5898.73,960.81,0,9230.03
2013,"Public Works, Transportation & Commerce",School Crossing Guard,13063.05,0,0,0,0,1031.98
2013,"Public Works, Transportation & Commerce",Custodian,51293.81,0,5086.76,12227.17,12918.24,4552.84
2013,Public Protection,Police Officer,78591.02,2050.18,832.9,15383.49,11004.42,4471.61
2013,"Public Works, Transportation & Commerce",IS Engineer-Principal,139889.05,0,16754.24,26860.46,12918.24,10076.37
2013,Culture & Recreation,Library Page,42175.61,0,463.19,9629.21,11124.05,3212.26
2013,"Public Works, Transportation & Commerce",Meter Reader,60892.04,1053.9,0,11088.48,12801.79,5185.25
2013,Public Protection,Public Safetycomm Disp,84448,0,4001.4,16106.73,12801.79,7393.64
2013,Public Protection,Community Police Services Aide,55016.73,398.81,4365.37,10587.85,12801.78,4891
2013,Community Health,Health Worker 3,60132.01,879.6,1745.25,12099.89,12918.24,5010.58
2013,General Administration & Finance,Prnpl Admin Analyst II,94416.74,0,0,16721.26,11063.09,7597.74
2013,"Public Works, Transportation & Commerce",IS Administrator-Supervisor,66250.55,0,0,11927.73,7655.25,5379.56
2013,Public Protection,Police Officer 2,0,0,167.03,0,3.04,0
2013,Culture & Recreation,Recreation Leader,1821.16,0,27,0,664.72,143.09
2013,Public Protection,Counselor 2,83846.21,29674.39,7377.83,16068.79,12912.27,2318.23
2013,Community Health,Food Service Worker,19315.9,18429.49,1141.58,4473.88,6339.51,3013.1
2013,General Administration & Finance,Mayor,272103,0,0,48189.44,12801.79,13214
2013,"Public Works, Transportation & Commerce",Transit Supervisor,80538.2,3026.08,6682.25,15215.01,11708.04,7517.02
2013,Community Health,Patient Care Assistant,8745.96,0,823.59,0,2523.85,740.88
2013,Public Protection,Sergeant 3,143289.05,35507.17,18920.55,27276.03,12918.24,3251.9
2013,Public Protection,Inspector 3,136647.37,99.51,12254.07,24341.89,12494.05,2520.34
2013,Community Health,Manager V,145865.95,0,0,25832.82,12801.79,17356.29
2013,Public Protection,"Lieut,Fire Prev",127350,27898.14,13459.5,23906.92,11078.47,2852.58
2013,Public Protection,Community Police Services Aide,66123.02,1234.17,9522.49,14443.75,12918.24,6310.89
2013,Culture & Recreation,Librarian 2,91206.03,0,1029.36,18113.23,12918.24,7381.67
2013,Community Health,PS Aide Health Services,10207.03,0,0,0,3649.81,806.36
2013,"Public Works, Transportation & Commerce",Electrician Supervisor 1,107582.02,297.45,0,20610.13,12918.34,8901.83
2013,"Public Works, Transportation & Commerce",Transit Operator,67131.14,19953.47,5009.98,18473.29,13996.36,6992.97
2013,General Administration & Finance,Junior Clerk,360.02,318.48,0,0,116.63,52.53
2013,"Public Works, Transportation & Commerce","Sergeant, (Police Department)",0,782.81,0,0,0,13.31
2013,Community Health,Special Nurse,42975.81,0,843.05,0,4216.04,3318.41
2013,Public Protection,Court Administrative Secretary,90736.53,0,648,17926.29,12918.24,7593.07
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,10172.48,0,0,0,4820.67,787.56
2013,Public Protection,Police Officer,92259.08,2200.72,10770.28,17967.75,12918.24,2509.46
2013,Culture & Recreation,Aquatics Facility Asst Supv,45673.63,0,356.49,9532.82,12801.79,3848.86
2013,Public Protection,Firefighter,112889.81,4933.43,14268.27,21868.52,15683.42,2191.93
2013,Public Protection,Police Officer,116478.02,12214.92,24897.03,22196.68,12918.24,2610
2013,General Administration & Finance,Industrial Hygienist,56469.62,0,0,10000.84,6499.37,4359.13
2013,Public Protection,"Counselor, Juvenile Hall",65051.67,18389.28,7199.95,13063.07,12801.79,1752.42
2013,General Administration & Finance,Sr Payroll & Personnel Clerk,73899.03,1454.65,1336.47,14637.5,12918.24,5710.47
2013,Public Protection,Pub Safety Communication Coord,103929.07,3137.57,12796.14,23508.23,12970.46,9437.33
2013,Culture & Recreation,Librarian 1,66794.83,0,556.62,12264.68,10793.64,5663.98
2013,Culture & Recreation,Executive Secretary 1,64781.63,0,581.87,11902.67,11937.49,5394.02
2013,Public Protection,Senior Deputy Sheriff,48210.01,7664.44,8924.53,11092.41,6105.47,1063.57
2013,Community Health,PS Aide Health Services,2504.42,0,0,0,870.25,193.9
2013,Public Protection,Police Officer 2,121068,9908.61,875.06,23065.02,12918.24,2188.03
2013,Public Protection,EMT/Paramedic/Firefighter,132687.12,1953.45,16585.85,28203.89,15501.89,2622.79
2013,General Administration & Finance,Accountant II,79339.53,0,0,15595.66,12918.24,6520.34
2013,"Public Works, Transportation & Commerce",Senior Water Service Inspector,110396.04,557.29,0,19551.2,12801.8,9011.57
2013,"Public Works, Transportation & Commerce",Transit Operator,11252.03,302.71,86.37,3097.66,3476.43,899.79
2013,"Public Works, Transportation & Commerce",Transit Operator,64786.08,2686.26,1157.9,16877.07,13507.42,5393.34
2013,Community Health,Special Nurse,29164.45,0,4530.56,0,2464.04,2652.07
2013,Public Protection,Police Officer 3,120041.58,2988.52,12600.92,21405.86,12924.88,2200.73
2013,Community Health,Painter,77948.03,1056.84,3323,15988.76,12918.24,6785.64
2013,Culture & Recreation,Swimming Instructor,4246.5,0,0,173.01,0,3056.69
2013,General Administration & Finance,Principal Real Property Ofc,133358.01,0,0,23617.73,12900.26,9739.42
2013,General Administration & Finance,Mayor,285446.37,0,0,54710.5,12918.24,13443.75
2013,"Public Works, Transportation & Commerce",Custodian,55026.01,0,648,10939.86,12918.24,4600.73
2013,"Public Works, Transportation & Commerce",Transit Operator,68767.43,5048.82,3685.57,19597.02,13932.09,6093.29
2013,"Public Works, Transportation & Commerce",Dep Dir III,170813.01,0,0,30251.05,12801.79,17780.94
2013,Culture & Recreation,Public Service Trainee,7230,0,0,0,2882.68,448.26
2013,Public Protection,Police Officer,99568.69,37458.06,8518.36,17764.78,11570.85,2257.02
2013,Culture & Recreation,Librarian 2,83774.71,0,1859.33,15593.94,12210.93,7443.59
2013,Community Health,Nutritionist,83021.85,0,0,16349.58,12595.28,6677.34
2013,Public Protection,Deputy Sheriff,90647.6,30359.25,11083.04,19359.31,12918.24,2230.06
2013,Culture & Recreation,Recreation Leader,32703.75,0,227.25,3932.82,8692.92,2622.07
2013,Culture & Recreation,Museum Guard,16950.09,0,0,0,4460.62,1312.27
2013,General Administration & Finance,Custodian,35407.15,247.64,2648.89,5290.99,9619.9,3066.31
2013,Community Health,Special Nurse,8854.95,0,1475.86,539.48,812.43,2783.03
2013,Community Health,Special Nurse,1241,0,248.2,293.29,0,12.63
2013,General Administration & Finance,Attorney (Civil/Criminal),117287.47,0,9064.08,22402.14,8430.06,9359.44
2013,Community Health,Licensed Vocational Nurse,14797.2,0,0,0,3249.68,1145.6
2013,General Administration & Finance,Senior Administrative Analyst,16713,0,0,3563.19,2153.04,1303.57
2013,Culture & Recreation,Architectural Assistant 2,1349.79,0,0,0,248.2,104.5
2013,"Public Works, Transportation & Commerce",Electrical Transit System Mech,82678.2,51348.09,5607.25,16360.8,12918.25,9714.8
2013,Community Health,Registered Nurse,122551.46,0,14211.65,27472.37,11115.67,7665.6
2013,Community Health,Special Nurse,2637.6,0,49.46,-0.02,0,1844.96
2013,Public Protection,Deputy Sheriff,95395.63,4345.09,12754.41,20657.01,12918.25,1788.68
2013,General Administration & Finance,Asst Forensic Toxicologist 1,107893.57,0,0,20669.56,12918.24,8833.79
2013,Community Health,Nurses Staffing Assistant,49115.08,0,4088.67,9909.05,10789.37,4176.13
2013,"Public Works, Transportation & Commerce",General Laborer,59878.02,3321.87,1233.84,11128.44,12801.78,4899.71
2013,"Public Works, Transportation & Commerce",Electrical Transit System Mech,82127.33,24263.03,13837.53,17888.85,12831.22,9354.01
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",3973.2,0,0,822.85,1004.75,323.16
