# H1, H2, H3, H4
0.98,0.48,0.82,0.69
0.01,0.68,0.05,0.38
0.48,0.72,0.02,0.45
0.23,0.81,0.89,0.10
0.58,0.19,0.86,0.85
0.82,0.63,0.99,0.55
0.98,0.81,0.17,0.08
0.33,0.97,0.58,0.06
0.83,0.08,0.20,0.61
0.76,0.58,0.82,0.04
0.24,0.40,0.66,0.02
0.78,0.94,0.79,0.55
0.49,0.53,0.33,0.20
0.58,0.44,0.61,0.53
0.41,0.71,0.09,0.96
0.90,0.73,0.75,0.33
0.39,0.41,0.76,0.35
0.43,0.25,0.59,0.84
0.53,0.67,0.61,0.25
0.41,0.21,0.62,0.95
0.03,0.39,0.82,0.18
0.91,0.04,0.53,0.93
0.23,0.95,0.81,0.55
0.76,0.60,0.53,0.99
0.84,0.73,0.65,0.72
0.53,0.07,0.78,0.39
0.14,0.36,0.95,0.60
0.75,0.25,0.27,0.23
0.52,0.17,0.32,0.91
0.64,0.32,0.96,0.37
0.05,0.57,0.14,0.20
0.92,0.82,0.50,0.74
0.14,0.19,0.73,0.75
0.59,0.01,0.60,0.67
0.86,0.66,0.58,0.99
0.44,0.67,0.28,0.73
0.03,0.06,0.86,0.56
0.04,0.17,0.51,0.03
0.04,0.56,0.24,0.60
0.32,0.09,0.58,0.86
0.48,0.35,0.14,0.58
0.54,0.58,0.50,0.42
0.70,0.59,0.35,0.91
0.12,0.39,0.83,0.17
0.12,0.77,0.54,0.37
0.48,0.86,0.85,0.32
0.91,0.64,0.18,0.89
0.40,0.65,0.47,0.51
0.15,0.73,0.44,0.01
0.39,0.14,0.28,0.63
