# H1, H2, H3, H4
0.04,0.24,0.91,0.57
0.17,0.86,0.03,0.54
0.64,0.47,0.89,0.50
0.12,0.51,0.50,0.01
0.61,0.47,0.03,0.73
0.40,0.67,0.32,0.89
0.09,0.74,0.42,0.03
0.86,0.45,0.20,0.51
0.78,0.55,0.84,0.33
0.24,0.44,0.30,0.89
0.41,0.72,0.75,0.25
0.79,0.86,0.11,0.23
0.38,0.43,0.47,0.22
0.33,0.15,0.38,0.86
0.99,0.42,0.71,0.23
0.41,0.05,0.69,0.89
0.83,0.29,0.28,0.37
0.86,0.29,0.31,0.81
0.88,0.78,0.78,0.96
0.97,0.18,0.82,0.14
0.08,0.32,0.30,0.46
0.59,0.40,0.92,0.53
0.87,0.42,0.95,0.11
0.49,0.37,1.00,0.69
0.62,0.48,0.84,0.40
0.14,0.46,0.38,0.45
0.32,0.57,0.68,0.06
0.27,0.17,0.53,0.56
0.03,0.44,0.94,0.41
0.20,0.88,0.93,0.92
0.46,0.85,0.30,0.90
0.80,0.50,0.27,0.58
0.29,0.14,0.35,0.85
0.70,0.52,0.78,0.96
0.33,0.16,0.91,0.49
0.59,0.31,0.64,0.84
0.22,0.63,0.05,0.81
0.04,0.34,0.10,0.79
0.55,0.31,0.93,0.77
0.20,0.48,0.96,0.81
0.01,0.79,0.88,0.04
0.57,0.10,0.82,0.18
0.33,0.49,0.94,0.80
0.36,0.62,0.82,0.03
0.71,0.95,0.66,0.97
0.87,0.11,0.63,0.37
0.49,0.20,0.13,0.85
0.34,0.28,0.03,0.70
0.14,0.44,0.24,0.23
0.07,0.37,0.03,0.10
